"FOM Properties"
"Average Response Time                "
"Minimum number of assets required: 1 "
"Satisfaction is not enabled          "
"FOM value range check is not enabled."

"Time (UTCG)","FOM Value (sec)"
1 Jul 2007 20:26:00.000,1148.517
1 Jul 2007 20:27:00.000,1088.517
1 Jul 2007 20:28:00.000,1028.517
1 Jul 2007 20:29:00.000,968.517
1 Jul 2007 20:30:00.000,908.517
1 Jul 2007 20:31:00.000,848.517
1 Jul 2007 20:32:00.000,788.517
1 Jul 2007 20:33:00.000,728.517
1 Jul 2007 20:34:00.000,668.517
1 Jul 2007 20:35:00.000,608.517
1 Jul 2007 20:36:00.000,548.517
1 Jul 2007 20:37:00.000,488.517
1 Jul 2007 20:38:00.000,428.517
1 Jul 2007 20:39:00.000,368.517
1 Jul 2007 20:40:00.000,308.517
1 Jul 2007 20:41:00.000,248.517
1 Jul 2007 20:42:00.000,188.517
1 Jul 2007 20:43:00.000,128.517
1 Jul 2007 20:44:00.000,68.517
1 Jul 2007 20:45:00.000,8.517
1 Jul 2007 20:46:00.000,0.000
1 Jul 2007 20:47:00.000,0.000
1 Jul 2007 20:48:00.000,0.000
1 Jul 2007 20:49:00.000,0.000
1 Jul 2007 20:50:00.000,0.000
1 Jul 2007 20:51:00.000,0.000
1 Jul 2007 20:52:00.000,0.000
1 Jul 2007 20:53:00.000,0.000
1 Jul 2007 20:54:00.000,10975.567
1 Jul 2007 20:55:00.000,10915.567
1 Jul 2007 20:56:00.000,10855.567
1 Jul 2007 20:57:00.000,10795.567
1 Jul 2007 20:58:00.000,10735.567
1 Jul 2007 20:59:00.000,10675.567
1 Jul 2007 21:00:00.000,10615.567
1 Jul 2007 21:01:00.000,10555.567
1 Jul 2007 21:02:00.000,10495.567
1 Jul 2007 21:03:00.000,10435.567
1 Jul 2007 21:04:00.000,10375.567
1 Jul 2007 21:05:00.000,10315.567
1 Jul 2007 21:06:00.000,10255.567
1 Jul 2007 21:07:00.000,10195.567
1 Jul 2007 21:08:00.000,10135.567
1 Jul 2007 21:09:00.000,10075.567
1 Jul 2007 21:10:00.000,10015.567
1 Jul 2007 21:11:00.000,9955.567
1 Jul 2007 21:12:00.000,9895.567
1 Jul 2007 21:13:00.000,9835.567
1 Jul 2007 21:14:00.000,9775.567
1 Jul 2007 21:15:00.000,9715.567
1 Jul 2007 21:16:00.000,9655.567
1 Jul 2007 21:17:00.000,9595.567
1 Jul 2007 21:18:00.000,9535.567
1 Jul 2007 21:19:00.000,9475.567
1 Jul 2007 21:20:00.000,9415.567
1 Jul 2007 21:21:00.000,9355.567
1 Jul 2007 21:22:00.000,9295.567
1 Jul 2007 21:23:00.000,9235.567
1 Jul 2007 21:24:00.000,9175.567
1 Jul 2007 21:25:00.000,9115.567
1 Jul 2007 21:26:00.000,9055.567
1 Jul 2007 21:27:00.000,8995.567
1 Jul 2007 21:28:00.000,8935.567
1 Jul 2007 21:29:00.000,8875.567
1 Jul 2007 21:30:00.000,8815.567
1 Jul 2007 21:31:00.000,8755.567
1 Jul 2007 21:32:00.000,8695.567
1 Jul 2007 21:33:00.000,8635.567
1 Jul 2007 21:34:00.000,8575.567
1 Jul 2007 21:35:00.000,8515.567
1 Jul 2007 21:36:00.000,8455.567
1 Jul 2007 21:37:00.000,8395.567
1 Jul 2007 21:38:00.000,8335.567
1 Jul 2007 21:39:00.000,8275.567
1 Jul 2007 21:40:00.000,8215.567
1 Jul 2007 21:41:00.000,8155.567
1 Jul 2007 21:42:00.000,8095.567
